OSNO (76, 892) 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18
CS (64, 800) (132, 69) - 1 5 18 5 1 25 6 28 6 24 6 29 1 5 22 6 30 6 22 4 14 4 22 6 29 1 5 20 4 16 4 20 5 1 28 1 5 20 4 16 4 20 5 1 29 6 22 4 14 4 22 6 30 6 22 5 1 29 6 24 6 28 6 25
CS (64, 892) (132, 42) - 1 5 26 5 1 33 6 28 6 33 1 5 26 5 1 34 1 5 27 1 6 1 29 6 30 4 12 4 28 6 33 1 5 26 6 34 6 28 6 32 6 28 6 34 6 26 5 1 33 6 28 4 12 4 30 6 29 1 6 1 27 5 1 34
CS (68, 800) (132, 450) - 1 5 24 6 30 6 24 6 30 6 24 5 1 31 6 22 4 16 4 20 4 16 4 20 4 16 4 21 1 7 31 1 6 1 21 4 16 4 20 4 16 4 20 4 16 4 21 1 6 1 31 7 1 21 4 16 4 20 4 16 4 20 4 16 4 22 6 31
CS (68, 852) (132, 207) - 1 5 24 5 1 31 6 30 6 29 1 6 1 27 5 1 34 1 5 26 5 1 33 6 28 6 32 6 28 6 33 1 5 26 5 1 34 1 5 27 1 6 1 29 6 30 6 31 1 5 24 5 1 32 1 5 25 1 6 1 30 1 6 1 25 5 1 32
CS (72, 700) (132, 74) - 1 5 22 4 16 2 6 2 14 4 24 4 14 2 8 2 10 2 10 2 10 2 10 2 10 2 8 2 14 4 24 4 14 2 6 2 16 4 22 5 1 29 6 30 6 28 4 12 2 6 2 16 4 24 5 1 32 1 5 24 4 16 2 6 2 12 4 28 6 30 6 29
CS (72, 716) (132, 164) - 1 5 18 2 2 2 16 2 2 2 18 4 16 4 22 5 1 30 1 5 23 1 6 1 28 1 5 20 4 18 4 18 4 18 4 20 5 1 28 1 6 1 23 5 1 30 1 5 22 4 16 4 18 2 2 2 16 2 2 2 18 5 1 27 6 28 6 26 6 28 6 27
CS (72, 764) (132, 4) - 1 5 18 2 2 2 16 4 16 4 22 6 28 6 26 6 26 6 26 6 28 6 22 4 16 4 16 2 2 2 18 5 1 27 6 24 4 12 2 4 2 16 4 18 4 18 4 16 4 20 5 1 28 1 5 20 4 16 4 18 4 18 4 16 2 4 2 12 4 24 6 27
CS (72, 780) (132, 476) - 1 5 22 4 16 4 22 5 1 29 6 28 6 28 6 29 1 6 1 23 5 1 30 1 5 22 5 1 29 6 26 4 12 2 8 2 10 2 10 2 8 2 10 2 10 2 8 2 12 4 26 6 29 1 5 22 5 1 30 1 5 23 1 6 1 29 6 28 6 28 6 29
CS (72, 864) (132, 240) - 1 5 24 4 14 4 25 1 6 1 26 1 6 1 25 4 14 4 24 4 14 4 25 1 6 1 26 1 6 1 25 4 14 4 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31
CS (72, 928) (132, 661) - 1 5 26 4 16 4 27 1 6 1 28 1 6 1 27 4 16 4 26 4 16 4 27 1 6 1 28 1 6 1 27 4 16 4 26 5 1 33 6 30 6 33 1 5 26 5 1 33 6 30 6 33 1 5 26 5 1 33 6 30 6 33 1 5 26 5 1 33 6 30 6 33
CS (74, 956) (132, 97) - 1 5 24 4 20 4 20 4 24 5 1 33 6 29 1 6 1 27 5 1 34 1 5 26 4 16 4 26 4 16 4 26 5 1 33 6 30 4 12 4 30 6 32 6 30 4 12 4 30 6 33 1 5 26 4 16 4 26 4 16 4 26 5 1 34 1 5 27 1 6 1 29 6 33
CS (76, 800) (132, 17) - 1 5 22 4 14 4 22 6 30 7 1 21 6 30 6 22 4 14 2 2 2 18 4 16 4 18 2 2 2 14 4 22 6 30 6 21 1 7 30 6 22 4 14 4 22 5 1 30 1 5 23 1 6 1 26 1 6 1 23 5 1 30 1 5 23 1 6 1 26 1 6 1 23 5 1 30
CS (76, 812) (132, 30) - 1 5 20 4 22 4 20 4 18 2 4 2 16 2 4 2 18 4 20 2 2 2 18 2 2 2 20 4 18 2 4 2 16 2 4 2 18 4 20 4 22 4 20 5 1 29 6 32 6 28 4 14 4 26 4 16 4 24 5 1 32 1 5 24 4 16 4 26 4 14 4 28 6 32 6 29
CS (78, 844) (132, 36) - 1 5 22 4 20 4 24 5 1 32 1 5 24 4 20 4 20 4 24 5 1 32 1 5 24 4 20 4 22 5 1 29 4 14 4 28 4 12 2 12 2 6 2 18 4 24 5 1 32 1 6 1 23 4 20 4 23 1 6 1 32 1 5 24 4 18 2 6 2 12 2 12 4 28 4 14 4 29
CS (80, 752) (132, 109) - 1 5 20 4 16 2 2 2 16 4 20 5 1 29 6 22 4 14 4 22 4 12 4 24 6 29 1 5 22 4 12 2 8 2 8 2 10 2 8 2 10 4 25 1 6 1 24 1 6 1 25 4 10 2 8 2 10 2 8 2 8 2 12 4 22 5 1 29 6 24 4 12 4 22 4 14 4 22 6 29
CS (80, 1128) (132, 85) - 1 5 24 4 20 4 20 4 20 4 24 5 1 33 6 28 5 1 35 6 26 4 16 4 26 5 1 33 6 30 6 32 6 30 4 10 2 14 4 26 5 1 33 6 30 6 32 6 30 6 33 1 5 26 4 14 2 10 4 30 6 32 6 30 6 33 1 5 26 4 16 4 26 6 35 1 5 28 6 33
CS (82, 928) (132, 60) - 1 5 18 4 18 4 16 4 20 4 14 4 22 6 29 1 5 20 4 16 4 20 5 1 29 6 22 5 1 29 6 22 4 14 4 20 4 16 4 18 4 18 4 16 4 20 4 14 4 22 6 29 1 5 22 6 29 1 5 20 4 16 4 20 5 1 29 6 22 4 14 4 20 4 16 4 18 4 18 5 1 26
CS (82, 972) (132, 6) - 1 5 22 4 20 2 2 2 18 4 24 4 16 2 6 2 14 2 8 2 12 4 30 6 31 1 5 22 4 22 5 1 31 6 30 4 12 2 8 2 14 2 6 2 16 4 24 4 18 2 2 2 20 4 22 5 1 31 6 30 4 12 4 30 6 32 6 30 6 32 6 30 6 32 6 30 4 12 4 30 6 31
CS (84, 912) (132, 190) - 1 5 22 4 16 4 25 1 6 1 28 1 6 1 26 1 6 1 28 1 6 1 26 1 6 1 28 1 6 1 25 4 16 4 22 5 1 30 1 5 22 5 1 29 6 29 1 6 1 25 4 14 4 26 6 31 1 5 22 4 18 4 22 5 1 31 6 26 4 14 4 25 1 6 1 29 6 29 1 5 22 5 1 30
CS (88, 804) (132, 1) - 1 5 22 4 20 4 18 4 24 4 14 2 8 2 12 2 8 2 12 2 8 2 12 2 8 2 12 2 8 2 12 2 8 2 14 4 24 4 18 4 20 4 22 5 1 29 4 12 2 8 2 12 2 8 2 14 4 24 4 18 4 20 4 22 5 1 30 1 5 22 4 20 4 18 4 24 4 14 2 8 2 12 2 8 2 12 4 29
CS (88, 916) (132, 31) - 1 5 20 4 18 4 22 4 16 4 24 4 14 2 6 2 14 4 25 1 6 1 28 1 5 20 4 20 4 18 2 4 2 14 4 25 1 6 1 28 1 6 1 25 4 14 2 4 2 18 4 20 4 20 5 1 28 1 6 1 25 4 14 2 6 2 14 4 24 4 16 4 22 4 18 4 20 5 1 27 6 32 6 26 6 32 6 27
CS (88, 1060) (132, 7) - 1 5 24 4 14 4 26 4 12 4 27 1 6 1 25 5 1 32 1 5 26 6 31 1 5 24 5 1 31 6 26 5 1 32 1 5 25 1 6 1 27 4 12 4 26 4 14 4 24 5 1 31 6 27 1 6 1 25 5 1 32 1 5 26 6 32 6 24 4 16 4 24 6 32 6 26 5 1 32 1 5 25 1 6 1 27 6 31
CS (92, 1308) (132, 36) - 1 5 18 4 22 6 31 1 5 24 6 30 6 26 6 30 6 24 5 1 31 6 24 6 30 6 26 6 30 6 24 6 31 1 5 24 6 30 6 26 6 30 6 24 5 1 31 6 24 6 30 6 26 6 30 6 24 6 31 1 5 24 6 30 6 26 6 30 6 24 5 1 31 6 22 4 18 5 1 26 1 6 1 25 6 30 6 25 1 6 1 26
CS (98, 1128) (132, 83) - 1 5 22 4 20 4 24 5 1 32 1 5 24 4 18 4 25 1 6 1 31 6 31 1 5 22 4 22 4 20 4 20 4 24 4 16 2 6 2 16 4 26 5 1 34 1 5 26 4 16 2 6 2 16 4 24 4 20 4 20 4 22 4 22 5 1 31 6 31 1 6 1 25 4 18 4 24 5 1 32 1 5 24 4 20 4 22 5 1 30 1 5 22 4 22 5 1 30
CS (108, 1368) (132, 88) - 1 5 20 4 16 2 6 2 12 4 25 1 6 1 27 6 28 6 29 1 5 22 5 1 29 6 26 5 1 32 1 5 26 6 29 1 5 22 5 1 29 6 28 6 27 1 6 1 25 4 12 2 6 2 16 4 20 5 1 27 6 30 6 26 6 30 6 26 6 31 1 5 24 4 14 4 24 5 1 31 6 26 6 30 6 26 6 31 1 5 24 4 14 4 24 5 1 31 6 26 6 30 6 26 6 30 6 27
CS (112, 1536) (132, 105) - 1 5 26 4 16 4 26 4 16 4 26 4 16 4 27 1 6 1 28 1 6 1 27 4 16 4 26 4 16 4 26 5 1 33 6 30 6 34 6 28 6 35 1 5 28 5 1 35 6 28 6 34 6 30 6 33 1 5 26 4 16 4 26 4 16 4 27 1 6 1 28 1 6 1 27 4 16 4 26 4 16 4 26 4 16 4 26 5 1 33 6 30 6 34 6 28 6 35 1 5 28 5 1 35 6 28 6 34 6 30 6 33
OSO (13, 135) (133, 1057) - 1 5 22 4 16 2 4 2 14 4 24 6 31
OSO (27, 305) (133, 183) - 1 5 26 4 16 4 26 4 14 2 8 2 14 4 27 1 6 1 29 6 33 1 5 26 5 1 34
OSO (39, 489) (133, 3) - 1 5 20 4 16 4 20 4 16 4 20 4 14 4 24 6 28 6 26 6 26 6 29 1 5 22 6 31 1 5 23 1 6 1 29 6 24 6 29
CS (40, 444) (133, 3027) - 1 5 18 4 16 4 20 4 14 4 21 1 7 30 6 22 4 14 4 20 4 14 4 22 6 30 7 1 21 4 14 4 20 4 16 4 18 5 1 26
CS (44, 508) (133, 1059) - 1 5 20 4 14 2 4 2 14 4 22 6 29 1 5 22 6 30 6 22 6 30 6 22 5 1 29 6 22 4 14 2 4 2 14 4 20 5 1 27 6 26 6 27
CS (48, 460) (133, 271) - 1 5 20 5 1 27 4 12 2 8 2 10 2 12 4 26 5 1 33 6 26 4 12 2 8 2 12 2 8 2 12 4 26 6 33 1 5 26 4 12 2 10 2 8 2 12 4 27
CS (48, 516) (133, 653) - 1 5 22 4 12 2 8 2 8 2 10 2 8 2 10 2 8 2 8 2 12 4 22 5 1 29 6 24 6 30 6 22 5 1 29 6 24 6 29 1 5 22 6 30 6 24 6 29
CS (48, 564) (133, 169) - 1 5 24 4 16 2 4 2 16 4 24 6 33 1 5 26 5 1 33 6 24 4 16 2 4 2 16 4 24 5 1 33 6 24 4 16 4 22 4 18 4 22 4 16 4 24 6 33
CS (52, 576) (133, 947) - 1 5 20 4 18 4 23 1 6 1 31 6 26 5 1 33 6 24 4 16 2 4 2 16 4 22 4 16 2 4 2 16 4 24 6 33 1 5 26 6 31 1 6 1 23 4 18 4 20 5 1 28
CS (56, 600) (133, 247) - 1 5 27 1 6 1 27 4 14 4 27 1 6 1 27 5 1 33 6 29 1 6 1 25 4 14 2 8 2 14 4 25 1 6 1 29 6 33 1 5 27 1 6 1 27 4 14 4 27 1 6 1 27 5 1 34
CS (56, 652) (133, 263) - 1 5 22 4 18 4 22 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 22 4 18 4 22 5 1 31 6 26 4 12 2 10 2 8 2 12 2 8 2 10 2 12 4 26 6 31
CS (56, 672) (133, 475) - 1 5 22 5 1 29 6 27 1 6 1 25 6 31 1 5 23 1 6 1 30 1 5 24 5 1 31 6 26 6 30 6 26 6 31 1 5 24 5 1 30 1 6 1 23 5 1 31 6 25 1 6 1 27 6 29
CS (56, 796) (133, 267) - 1 5 24 5 1 31 6 24 6 30 6 24 6 30 6 24 5 1 31 6 24 6 30 6 22 4 16 4 20 4 16 4 20 4 16 4 22 6 30 6 24 6 31 1 5 24 6 30 6 24 6 30 6 24 6 31
CS (60, 640) (133, 127) - 1 5 20 4 20 5 1 27 4 12 2 8 2 12 2 8 2 12 4 26 5 1 33 6 26 6 33 1 5 26 5 1 33 6 26 6 33 1 5 26 4 12 2 8 2 12 2 8 2 12 4 27 1 5 20 4 20 5 1 28
CS (60, 700) (133, 40) - 1 5 20 4 18 4 18 4 16 2 4 2 14 4 22 6 31 1 5 24 4 12 4 24 4 12 4 24 5 1 31 6 22 4 14 2 4 2 16 4 18 4 18 4 20 5 1 29 6 24 6 30 6 24 6 30 6 24 6 29
CS (60, 772) (133, 104) - 1 5 22 5 1 29 6 24 5 1 30 1 5 22 5 1 29 6 24 6 28 6 26 6 28 6 24 6 29 1 5 22 5 1 30 1 5 24 6 29 1 5 22 5 1 29 6 24 6 29 1 5 22 5 1 29 6 24 6 29
CS (64, 672) (133, 234) - 1 5 20 2 4 2 14 2 8 2 12 2 8 2 14 4 26 5 1 33 6 28 5 1 34 1 5 26 4 16 4 26 5 1 34 1 5 28 6 33 1 5 26 4 14 2 8 2 12 2 8 2 14 2 4 2 20 5 1 29 6 32 6 29
CS (68, 748) (133, 16) - 1 5 18 5 1 25 4 10 2 10 4 24 6 28 6 24 6 30 7 1 21 4 14 4 22 6 30 6 22 4 12 2 8 2 8 2 10 2 8 2 8 2 12 4 22 6 30 6 22 4 14 4 21 1 7 30 6 24 6 28 6 24 4 10 2 10 4 25
CS (68, 852) (133, 423) - 1 5 24 5 1 31 6 30 6 30 6 30 6 31 1 5 24 5 1 32 1 5 25 1 6 1 31 6 28 6 33 1 5 26 5 1 34 1 5 27 1 6 1 28 1 6 1 27 5 1 34 1 5 26 5 1 33 6 28 6 31 1 6 1 25 5 1 32
CS (72, 724) (133, 40) - 1 5 20 4 18 2 2 2 16 4 18 4 20 4 16 4 20 4 18 4 16 2 2 2 18 4 20 5 1 28 1 6 1 23 5 1 30 1 5 22 4 16 4 20 4 16 4 22 5 1 30 1 5 22 4 16 4 20 4 16 4 22 5 1 30 1 5 23 1 6 1 28
CS (72, 816) (133, 146) - 1 5 20 4 18 4 18 4 20 4 18 4 18 4 20 5 1 28 1 6 1 25 6 31 1 5 24 6 31 1 5 22 4 16 4 22 5 1 30 1 5 22 5 1 30 1 5 22 5 1 30 1 5 22 4 16 4 22 5 1 31 6 24 5 1 31 6 25 1 6 1 28
CS (78, 764) (133, 29) - 1 5 20 4 20 5 1 29 6 27 1 6 1 25 4 14 4 22 4 16 4 22 5 1 31 6 25 1 6 1 27 4 10 2 10 2 8 2 10 2 10 2 8 2 10 2 10 2 8 2 10 2 10 4 27 1 6 1 25 6 31 1 5 22 4 16 4 22 4 14 4 25 1 6 1 27 6 29
CS (82, 956) (133, 112) - 1 5 20 4 20 5 1 29 6 26 5 1 32 1 5 24 5 1 30 1 6 1 23 5 1 30 1 5 22 4 16 4 22 5 1 30 1 5 23 1 6 1 30 1 5 24 5 1 32 1 5 26 6 29 1 5 20 4 20 5 1 29 6 26 6 31 1 5 22 4 18 4 18 4 22 5 1 31 6 26 6 29
CS (92, 940) (133, 8) - 1 5 20 4 20 4 20 4 16 2 6 2 12 2 8 2 10 2 10 2 10 2 8 2 12 2 8 2 10 2 10 2 10 2 8 2 12 2 6 2 16 4 20 4 20 4 20 5 1 28 1 6 1 25 6 32 6 26 6 32 6 26 5 1 32 1 5 24 5 1 30 1 5 24 5 1 32 1 5 26 6 32 6 26 6 32 6 25 1 6 1 28
CS (96, 1116) (133, 32) - 1 5 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 5 1 27 6 30 6 27 1 6 1 25 5 1 32 1 5 24 4 16 4 20 4 20 4 16 4 24 5 1 32 1 5 24 4 16 4 20 4 20 4 16 4 24 5 1 32 1 5 25 1 6 1 27 6 30 6 27
CS (160, 2224) (133, 100) - 1 5 23 1 6 1 32 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 32 1 6 1 23 5 1 32 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 26 5 1 32
OSO (23, 277) (134, 288) - 1 5 20 4 20 4 18 4 22 4 16 2 4 2 16 4 24 6 32 6 28 6 29
OSO (23, 319) (134, 363) - 1 5 24 4 20 4 20 4 22 4 18 4 26 6 34 6 28 4 14 4 28 6 33
OSO (27, 255) (134, 244) - 1 5 18 2 2 2 16 4 20 4 14 4 23 1 6 1 28 1 5 20 4 16 4 20 5 1 28
OSO (27, 339) (134, 184) - 1 5 20 4 16 4 22 5 1 30 1 5 24 6 29 1 6 1 23 6 30 6 26 6 28 6 27
OSO (29, 319) (134, 67) - 1 5 20 4 16 4 21 1 7 31 1 5 22 4 14 4 24 6 28 6 27 1 6 1 24 1 6 1 28
CS (36, 412) (134, 114) - 1 5 22 4 18 4 18 2 4 2 14 2 4 2 18 4 18 4 22 5 1 29 6 30 6 26 5 1 32 1 5 26 6 30 6 29
CS (44, 412) (134, 429) - 1 5 20 2 2 2 18 4 18 4 22 4 18 4 18 2 2 2 20 5 1 29 4 10 2 8 2 14 4 24 5 1 32 1 5 24 4 14 2 8 2 10 4 29
CS (44, 492) (134, 230) - 1 5 20 4 18 4 20 4 16 4 22 4 16 4 20 4 18 4 20 5 1 29 6 26 4 10 2 12 4 24 5 1 32 1 5 24 4 12 2 10 4 26 6 29
CS (44, 540) (134, 474) - 1 5 22 4 16 2 4 2 14 4 24 6 31 1 5 24 6 32 6 24 5 1 31 6 24 4 14 2 4 2 16 4 22 5 1 29 6 28 6 28 6 28 6 29
CS (46, 560) (134, 334) - 1 5 20 4 20 4 16 4 23 1 6 1 30 1 6 1 23 4 16 4 20 4 20 5 1 29 6 28 6 28 6 29 1 5 20 4 20 5 1 29 6 28 6 28 6 29
CS (48, 488) (134, 318) - 1 5 18 4 18 4 18 5 1 25 4 10 2 10 4 24 6 29 1 5 22 4 14 4 21 1 6 1 28 1 6 1 21 4 14 4 22 5 1 29 6 24 4 10 2 10 4 25
CS (48, 520) (134, 1495) - 1 5 22 5 1 29 6 24 4 10 2 8 2 12 4 21 1 7 30 6 24 6 27 1 6 1 24 1 6 1 27 6 24 6 30 7 1 21 4 12 2 8 2 10 4 24 6 29
CS (48, 648) (134, 736) - 1 5 24 4 18 4 24 5 1 33 6 26 4 16 4 26 6 33 1 5 26 6 34 6 27 1 6 1 28 1 6 1 27 6 34 6 26 5 1 33 6 26 4 16 4 26 6 33
CS (52, 548) (134, 99) - 1 5 20 4 18 2 4 2 16 4 23 1 6 1 30 1 5 24 5 1 30 1 6 1 23 4 16 2 4 2 18 4 20 5 1 27 6 32 6 27 1 6 1 26 1 6 1 27 6 32 6 27
CS (52, 556) (134, 534) - 1 5 22 4 18 2 2 2 18 4 22 5 1 31 6 26 4 14 2 4 2 18 4 22 5 1 31 6 26 4 14 2 6 2 14 4 26 6 31 1 5 22 4 18 2 4 2 14 4 26 6 31
CS (52, 744) (134, 191) - 1 5 26 6 33 1 6 1 23 4 18 4 22 4 18 4 23 1 6 1 33 6 26 5 1 33 6 28 6 32 6 28 6 33 1 5 26 6 34 6 26 5 1 33 6 28 6 32 6 28 6 33
CS (56, 508) (134, 53) - 1 5 20 4 14 2 6 2 10 2 8 2 10 2 8 4 27 1 5 20 4 16 4 20 4 14 4 20 4 16 4 20 5 1 27 4 8 2 10 2 8 2 10 2 6 2 14 4 20 5 1 27 6 26 6 27
CS (56, 516) (134, 343) - 1 5 21 1 6 1 29 6 24 6 29 1 5 22 4 12 2 8 2 8 2 10 2 8 2 10 2 8 2 8 2 12 4 22 5 1 29 6 24 6 29 1 6 1 21 5 1 28 1 6 1 22 1 6 1 28
CS (58, 620) (134, 448) - 1 5 22 4 20 4 20 4 22 5 1 29 4 12 2 8 2 14 4 26 4 16 4 24 5 1 31 6 30 4 10 2 12 2 8 2 12 2 10 4 30 6 31 1 5 24 4 16 4 26 4 14 2 8 2 12 4 29
CS (60, 508) (134, 446) - 1 5 22 4 16 2 4 2 16 2 4 2 16 4 22 4 16 2 4 2 16 2 4 2 16 4 22 5 1 29 4 10 2 10 2 10 2 8 2 14 4 24 5 1 32 1 5 24 4 14 2 8 2 10 2 10 2 10 4 29
CS (60, 708) (134, 154) - 1 5 20 4 18 4 24 5 1 32 1 5 25 1 6 1 29 6 29 1 5 20 4 22 4 16 4 24 4 16 4 22 4 20 5 1 29 6 29 1 6 1 25 5 1 32 1 5 24 4 18 4 20 5 1 27 6 32 6 27
CS (62, 564) (134, 174) - 1 5 18 4 18 4 18 4 18 4 18 4 18 4 18 4 18 5 1 26 1 6 1 25 4 10 2 10 2 6 2 14 4 22 5 1 30 1 6 1 22 1 6 1 30 1 5 22 4 14 2 6 2 10 2 10 4 25 1 6 1 26
CS (64, 724) (134, 150) - 1 5 20 4 18 4 20 4 16 2 6 2 12 4 26 6 31 1 5 24 4 14 4 24 4 14 4 24 4 14 4 24 4 14 4 24 4 14 4 24 5 1 31 6 26 4 12 2 6 2 16 4 20 4 18 4 20 5 1 27 6 30 6 27
CS (64, 784) (134, 450) - 1 5 20 4 20 5 1 28 1 6 1 25 5 1 32 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 32 1 5 25 1 6 1 28 1 5 20 4 20 5 1 29 6 28 6 28 6 28 6 29
CS (66, 772) (134, 68) - 1 5 22 4 22 5 1 30 1 6 1 25 4 16 4 26 4 14 2 8 2 14 4 26 5 1 33 6 29 1 6 1 27 6 34 6 28 6 34 6 27 1 6 1 29 6 33 1 5 26 4 14 2 8 2 14 4 26 4 16 4 25 1 6 1 30
CS (68, 824) (134, 461) - 1 5 22 4 16 4 22 5 1 29 6 28 6 28 6 29 1 5 22 5 1 29 6 28 6 28 6 29 1 5 22 4 16 4 22 5 1 30 1 5 23 1 6 1 30 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 30 1 6 1 23 5 1 30
CS (68, 840) (134, 493) - 1 5 22 4 18 4 22 5 1 30 1 5 23 1 6 1 30 1 5 24 5 1 31 6 26 5 1 32 1 5 26 6 31 1 5 24 5 1 30 1 6 1 23 5 1 30 1 5 22 4 18 4 22 5 1 31 6 26 6 32 6 26 6 32 6 26 6 31
CS (68, 856) (134, 109) - 1 5 23 1 6 1 31 6 28 6 28 4 12 4 27 1 6 1 26 1 6 1 27 4 12 4 28 6 28 6 31 1 6 1 23 5 1 31 6 27 1 6 1 27 6 30 6 28 6 31 1 5 24 5 1 31 6 28 6 30 6 27 1 6 1 27 6 31
CS (72, 620) (134, 132) - 1 5 18 2 4 2 12 2 8 2 10 2 8 2 12 4 24 6 31 1 5 22 4 16 4 22 5 1 31 6 24 4 12 2 8 2 10 2 8 2 12 2 4 2 18 5 1 27 4 10 2 10 4 26 4 10 2 10 2 8 2 10 2 10 4 26 4 10 2 10 4 27
CS (72, 780) (134, 191) - 1 5 22 4 20 4 20 4 22 4 16 2 6 2 14 2 6 2 16 4 22 4 20 4 20 4 22 5 1 30 1 6 1 25 5 1 32 1 5 24 4 18 4 22 4 18 4 24 5 1 32 1 5 24 4 18 4 22 4 18 4 24 5 1 32 1 5 25 1 6 1 30
CS (72, 788) (134, 2) - 1 5 20 2 4 2 16 4 24 4 18 4 24 5 1 31 4 10 2 12 2 10 4 31 1 5 24 4 18 4 24 4 16 2 4 2 20 5 1 29 6 33 1 5 25 1 6 1 32 1 5 24 4 20 4 20 4 20 4 24 5 1 32 1 6 1 25 5 1 33 6 29
CS (72, 816) (134, 226) - 1 5 23 1 6 1 31 6 28 6 30 6 29 1 6 1 25 5 1 33 6 24 4 16 4 24 4 14 2 6 2 14 2 6 2 14 4 24 4 16 4 24 6 33 1 5 25 1 6 1 29 6 30 6 28 6 31 1 6 1 23 5 1 30 1 6 1 24 1 6 1 30
CS (76, 848) (134, 143) - 1 5 20 2 2 2 16 4 22 4 16 4 23 1 6 1 28 1 6 1 24 1 6 1 28 1 6 1 23 4 16 4 22 4 16 2 2 2 20 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 29
CS (76, 848) (134, 209) - 1 5 24 4 18 2 4 2 16 2 4 2 18 4 24 5 1 33 6 28 5 1 34 1 5 25 1 6 1 32 1 6 1 25 5 1 34 1 5 28 6 33 1 5 24 4 18 2 4 2 16 2 4 2 18 4 24 5 1 33 6 28 5 1 34 1 5 26 5 1 34 1 5 28 6 33
CS (76, 920) (134, 228) - 1 5 22 4 14 4 20 4 14 4 22 4 12 4 23 1 6 1 26 1 6 1 23 4 12 4 22 4 14 4 20 4 14 4 22 5 1 29 6 24 6 28 6 24 6 28 6 24 6 29 1 5 22 4 14 4 20 4 14 4 22 5 1 29 6 24 6 28 6 24 6 28 6 24 6 29
CS (76, 940) (134, 47) - 1 5 24 4 18 4 24 4 16 4 26 4 16 4 24 4 18 4 24 5 1 31 6 31 1 6 1 23 4 20 4 20 4 20 4 24 5 1 32 1 5 26 5 1 33 6 28 4 14 4 28 6 33 1 5 26 5 1 32 1 5 24 4 20 4 20 4 20 4 23 1 6 1 31 6 31
CS (78, 812) (134, 82) - 1 5 18 4 20 5 1 28 1 5 22 5 1 30 1 5 24 6 29 1 6 1 22 1 6 1 28 1 5 20 4 18 4 18 4 18 4 18 4 18 4 18 4 20 5 1 28 1 6 1 22 1 6 1 29 6 24 5 1 30 1 5 22 5 1 28 1 5 20 4 18 5 1 25 4 12 4 25
CS (78, 900) (134, 67) - 1 5 22 2 2 2 18 4 24 4 16 2 6 2 16 4 26 5 1 34 1 5 26 4 16 2 6 2 16 4 24 4 18 2 2 2 22 5 1 31 6 32 6 30 6 33 1 5 25 1 6 1 32 1 5 24 4 20 4 20 4 24 5 1 32 1 6 1 25 5 1 33 6 30 6 32 6 31
CS (80, 788) (134, 18) - 1 5 20 4 16 4 22 4 12 2 8 2 10 2 8 2 12 4 24 6 29 1 5 20 4 18 4 18 2 2 2 16 4 18 4 20 4 16 4 20 4 18 4 16 2 2 2 18 4 18 4 20 5 1 29 6 24 4 12 2 8 2 10 2 8 2 12 4 22 4 16 4 20 5 1 27 6 28 6 27
CS (80, 856) (134, 32) - 1 5 20 4 23 1 6 1 32 1 6 1 24 1 6 1 32 1 6 1 23 4 20 5 1 29 6 32 6 29 1 6 1 27 5 1 34 1 5 25 1 6 1 32 1 5 24 4 16 2 6 2 14 2 6 2 16 4 24 5 1 32 1 6 1 25 5 1 34 1 5 27 1 6 1 29 6 32 6 29
CS (80, 952) (134, 197) - 1 5 23 1 6 1 29 6 26 6 26 4 12 4 24 6 30 6 24 5 1 31 6 24 6 30 6 24 6 31 1 5 24 6 30 6 24 4 12 4 26 6 26 6 29 1 6 1 23 5 1 31 6 22 4 16 4 20 4 14 2 6 2 12 2 6 2 12 2 6 2 14 4 20 4 16 4 22 6 31
CS (84, 772) (134, 41) - 1 5 22 4 20 4 22 4 18 2 4 2 18 4 22 4 20 4 22 5 1 29 4 12 2 10 2 10 2 12 2 6 2 18 4 22 4 20 4 22 5 1 29 4 12 2 10 2 10 2 12 2 8 2 12 2 10 2 10 2 12 4 29 1 5 22 4 20 4 22 4 18 2 6 2 12 2 10 2 10 2 12 4 29
