0: 1 5 22 6 29, zy
99: 1 5 20 4 14 2 6 2 10 2 8 2 10 2 8 4 27, zy
100: 1 5 20 4 14 2 6 2 12 4 22 4 12 2 8 4 27, zy
101: 1 5 20 4 16 2 4 2 12 4 24 6 28 6 24 6 29, zy
102: 1 5 20 4 16 4 20 4 14 2 4 2 14 4 22 6 29, zy
103: 1 5 20 4 16 4 20 4 16 4 18 4 16 4 22 6 29, zy
104: 1 5 20 4 16 4 22 6 30 6 24 6 30 6 24 6 29, zy
105: 1 5 20 4 20 4 16 4 24 6 30 6 28 6 28 6 29, zy
106: 1 5 20 4 20 4 18 2 4 2 14 4 25 1 6 1 28, zy
107: 1 5 20 4 22 4 18 4 24 4 16 2 6 2 14 4 27, zy
108: 1 5 20 4 24 4 16 4 27 1 6 1 28 1 6 1 28, zy
109: 1 5 22 4 14 2 8 2 10 4 28 6 28 6 28 6 29, zy
110: 1 5 22 4 14 4 23 1 6 1 29 6 23 1 6 1 30, zy
111: 1 5 22 4 16 2 4 2 16 4 23 1 6 1 29 6 29, zy
112: 1 5 22 4 16 2 6 2 12 2 10 4 28 6 30 6 29, zy
113: 1 5 22 4 16 4 22 4 14 2 8 2 10 4 28 6 29, zy
114: 1 5 22 4 16 4 22 4 14 2 8 4 28 6 28 6 29, zy
115: 1 5 22 4 18 4 22 5 1 30 1 5 23 1 6 1 30, zy
116: 1 5 22 4 20 4 18 2 4 2 16 4 25 1 6 1 30, zy
117: 1 5 22 4 20 4 22 4 16 2 8 2 10 2 12 4 29, zy
118: 1 5 22 5 1 29 6 23 1 6 1 27 6 24 5 1 30, zy
119: 1 5 22 6 29 1 6 1 23 6 29 1 6 1 23 6 29, zy
120: 1 5 22 6 30 6 22 4 14 2 4 2 14 4 22 6 29, zy
121: 1 5 23 1 6 1 26 1 6 1 24 1 6 1 25 6 29, zy
122: 1 5 24 4 12 2 8 2 12 4 24 4 14 4 24 6 31, zy
123: 1 5 24 4 14 2 6 2 14 4 24 4 14 4 26 6 31, zy
124: 1 5 24 4 14 2 6 2 14 4 25 1 6 1 27 6 31, zy
125: 1 5 24 4 16 4 23 1 6 1 29 6 30 6 28 6 31, zy
126: 1 5 24 4 18 2 4 2 16 2 6 2 14 4 28 6 33, zy
127: 1 5 24 5 1 30 1 5 24 6 33 1 5 26 5 1 32, zy
128: 1 5 24 5 1 31 6 28 6 29 1 6 1 25 5 1 32, zy
129: 1 5 24 6 30 6 24 4 12 2 6 2 14 4 22 6 31, zy
130: 1 5 24 6 32 6 25 1 6 1 27 6 30 6 26 6 31, zy
131: 1 5 24 6 32 6 26 6 30 6 27 1 6 1 25 6 31, zy
132: 1 5 25 1 6 1 31 6 30 6 30 6 32 6 28 6 33, zy
133: 1 5 26 4 12 2 10 4 28 6 29 1 6 1 25 6 33, zy
134: 1 5 26 4 14 2 8 2 12 4 28 6 32 6 28 6 33, zy
135: 1 5 26 6 32 6 26 4 14 4 24 4 16 4 24 6 33, zy
136: 1 5 26 6 34 6 27 1 6 1 28 1 6 1 27 6 33, zy
137: 1 5 28 4 14 4 28 6 34 6 28 6 34 6 28 6 35, zy
138: 1 5 18 4 16 4 20 6 29 1 5 20 4 14 4 22 6 27, zy
139: 1 5 24 4 16 4 26 6 33 1 5 26 4 14 4 28 6 31, zy
140: 1 5 24 4 16 4 27 1 6 1 27 5 1 33 6 30 6 31, zy
141: 1 5 25 1 6 1 31 6 33 1 5 27 1 6 1 29 6 33, zy
142: 1 5 26 4 16 4 26 6 35 1 5 28 4 14 4 28 6 33, zy
143: 1 5 26 4 16 4 27 1 6 1 27 5 1 33 6 30 6 33, zy
144: 1 5 18 2 2 2 18 4 20 4 16 4 23 1 6 1 29 6 27, zy
145: 1 5 18 4 18 4 16 2 4 2 12 2 6 2 12 4 24 6 27, zy
146: 1 5 18 4 18 4 18 4 16 4 20 4 14 4 23 1 6 1 26, zy
147: 1 5 18 4 20 4 14 4 24 6 28 6 25 1 6 1 27 6 27, zy
148: 1 5 18 4 20 5 1 30 1 5 24 6 27 1 6 1 25 6 27, zy
149: 1 5 18 4 22 6 32 6 24 6 31 1 5 22 5 1 29 6 27, zy
150: 1 5 20 2 4 2 14 2 8 2 10 2 12 2 8 2 12 4 29, zy
151: 1 5 20 4 14 2 6 2 10 2 8 2 8 2 12 4 22 6 29, zy
152: 1 5 20 4 16 4 18 2 2 2 16 4 18 4 16 4 22 6 29, zy
153: 1 5 20 4 16 4 18 4 18 4 14 2 6 2 12 4 22 6 29, zy
154: 1 5 20 4 16 4 18 4 18 4 16 4 20 4 14 4 22 6 29, zy
155: 1 5 20 4 16 4 18 4 20 5 1 30 1 5 23 1 6 1 28, zy
156: 1 5 20 4 16 4 20 4 12 2 8 2 8 2 12 4 22 6 29, zy
157: 1 5 20 4 16 4 20 4 14 2 4 2 16 4 16 4 22 6 29, zy
158: 1 5 20 4 16 4 20 4 14 4 22 6 29 1 6 1 23 6 29, zy
159: 1 5 20 4 16 4 22 4 14 4 23 1 6 1 27 6 28 6 27, zy
160: 1 5 20 4 18 4 20 4 16 2 6 2 10 2 10 2 10 4 27, zy
161: 1 5 20 4 18 4 20 4 16 2 6 2 12 4 26 6 30 6 27, zy
162: 1 5 20 4 18 4 22 4 16 2 4 2 16 4 24 6 32 6 27, zy
163: 1 5 20 4 20 4 16 4 24 6 30 6 28 6 28 6 28 6 29, zy
164: 1 5 20 4 20 4 18 4 22 4 16 4 24 6 32 6 28 6 29, zy
165: 1 5 22 4 14 2 6 2 12 4 24 6 29 1 5 22 5 1 30, zy
166: 1 5 22 4 14 2 6 2 12 4 24 6 30 6 23 1 6 1 30, zy
167: 1 5 22 4 14 4 22 6 29 1 5 22 5 1 29 6 24 6 29, zy
168: 1 5 22 4 14 4 24 6 28 6 26 6 29 1 5 22 5 1 30, zy
169: 1 5 22 4 16 2 6 2 12 4 26 5 1 33 6 24 5 1 30, zy
170: 1 5 22 4 16 4 22 4 14 2 6 2 14 4 23 1 6 1 30, zy
171: 1 5 22 4 16 4 22 4 14 2 8 2 10 4 28 6 28 6 29, zy
172: 1 5 22 4 16 4 24 6 30 6 28 6 29 1 5 22 5 1 30, zy
173: 1 5 22 4 18 4 18 4 20 4 18 4 20 4 16 4 24 6 31, zy
174: 1 5 22 4 18 4 18 4 22 4 14 2 6 2 14 4 24 6 31, zy
175: 1 5 22 4 18 4 24 4 16 4 25 1 6 1 29 4 12 4 29, zy
176: 1 5 22 4 18 4 24 4 16 4 25 1 6 1 29 6 32 6 29, zy
177: 1 5 22 4 18 4 25 1 6 1 29 6 32 6 30 6 32 6 29, zy
178: 1 5 22 4 20 4 18 4 22 4 18 4 22 4 16 4 26 6 31, zy
179: 1 5 22 4 20 4 22 4 18 2 6 2 14 4 28 6 34 6 29, zy
180: 1 5 22 4 22 4 18 2 6 2 12 2 10 2 12 4 30 6 31, zy
181: 1 5 22 5 1 29 6 24 4 12 4 24 6 28 6 24 5 1 30, zy
182: 1 5 22 5 1 29 6 26 4 14 4 24 6 32 6 24 5 1 30, zy
183: 1 5 22 5 1 29 6 32 6 31 1 6 1 25 5 1 33 6 29, zy
184: 1 5 22 6 30 6 24 6 28 6 26 6 26 6 28 6 24 6 29, zy
185: 1 5 23 1 6 1 29 6 24 4 12 2 6 2 14 4 22 6 31, zy
186: 1 5 23 1 6 1 31 6 27 1 6 1 26 1 6 1 27 6 31, zy
187: 1 5 24 4 12 2 8 2 8 2 12 4 24 6 30 6 24 6 31, zy
188: 1 5 24 4 14 4 24 4 12 2 10 4 26 4 12 4 26 6 31, zy
189: 1 5 24 4 14 4 24 4 12 2 10 4 27 1 6 1 25 6 31, zy
190: 1 5 24 4 14 4 24 6 30 6 26 6 31 1 5 24 5 1 32, zy
191: 1 5 24 4 16 4 24 5 1 31 6 28 6 32 6 26 5 1 32, zy
192: 1 5 24 4 16 4 26 6 33 1 5 26 6 34 6 26 5 1 32, zy
193: 1 5 24 4 18 2 2 2 20 4 18 2 4 2 16 4 26 6 33, zy
194: 1 5 24 4 18 2 2 2 20 4 18 4 24 4 16 4 26 6 33, zy
195: 1 5 24 4 18 4 20 4 22 4 16 2 6 2 14 4 26 6 33, zy
196: 1 5 24 4 18 4 24 4 16 2 8 2 12 4 30 6 32 6 31, zy
197: 1 5 24 4 18 4 24 5 1 31 6 31 1 6 1 25 5 1 32, zy
198: 1 5 24 5 1 31 6 26 4 14 4 26 6 32 6 26 5 1 32, zy
199: 1 5 24 6 30 6 26 6 27 1 6 1 25 6 30 6 24 6 31, zy
200: 1 5 24 6 32 6 24 4 16 4 20 4 20 4 16 4 24 6 31, zy
201: 1 5 24 6 32 6 26 6 30 6 28 6 28 6 30 6 26 6 31, zy
202: 1 5 25 1 6 1 31 4 10 2 12 2 8 2 14 4 28 6 33, zy
203: 1 5 25 1 6 1 31 4 10 2 14 4 27 1 6 1 29 6 33, zy
204: 1 5 26 4 14 2 10 4 30 6 32 6 30 6 32 6 30 6 33, zy
205: 1 5 26 4 16 4 24 4 16 4 26 5 1 33 6 28 5 1 34, zy
206: 1 5 26 4 16 4 26 5 1 33 6 29 1 6 1 27 5 1 34, zy
207: 1 5 26 5 1 33 6 27 1 6 1 28 1 6 1 27 5 1 34, zy
208: 1 5 26 6 34 6 27 1 6 1 29 6 30 6 32 6 28 6 33, zy
209: 1 5 26 6 34 6 28 6 32 6 30 6 30 6 32 6 28 6 33, zy
210: 1 5 27 1 6 1 27 4 14 4 28 6 32 6 30 6 30 6 33, zy
211: 1 5 28 4 12 2 12 4 28 6 34 6 28 6 34 6 28 6 35, zy
212: 1 5 28 5 1 34 1 5 28 6 34 6 29 1 6 1 27 6 35, zy
213: 1 5 18 2 2 2 16 4 22 6 31 1 5 24 4 12 4 26 6 27, zy
214: 1 5 18 4 18 4 14 4 22 6 29 1 5 22 6 28 6 24 6 27, zy
215: 1 5 18 4 20 4 16 4 22 6 31 1 5 24 6 30 6 26 6 27, zy
216: 1 5 20 4 14 2 6 2 8 2 12 4 21 1 7 30 6 22 6 29, zy
217: 1 5 22 4 18 4 18 4 22 6 33 1 5 26 6 30 6 26 6 31, zy
218: 1 5 22 4 22 4 18 4 26 6 35 1 5 28 6 34 6 30 6 31, zy
219: 1 5 22 5 1 29 6 24 5 1 31 6 22 6 31 1 5 24 6 29, zy
220: 1 5 22 5 1 29 6 26 5 1 31 6 26 6 31 1 5 26 6 29, zy
221: 1 5 22 6 27 1 6 1 23 6 28 7 1 21 6 28 6 22 6 29, zy
222: 1 5 22 6 31 1 5 24 5 1 31 6 22 5 1 29 6 24 6 29, zy
223: 1 5 24 5 1 31 6 26 5 1 31 6 28 6 31 1 5 26 6 31, zy
224: 1 5 24 5 1 31 6 26 5 1 33 6 24 6 33 1 5 26 6 31, zy
225: 1 5 24 5 1 31 6 28 5 1 33 6 28 6 33 1 5 28 6 31, zy
226: 1 5 24 6 31 1 5 24 6 32 6 24 5 1 31 6 24 5 1 30, zy
227: 1 5 24 6 33 1 5 26 5 1 33 6 24 5 1 31 6 26 6 31, zy
228: 1 5 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 5 1 30, zy
229: 1 5 26 5 1 33 6 28 5 1 33 6 30 6 33 1 5 28 6 33, zy
230: 1 5 26 5 1 33 6 28 5 1 35 6 26 6 35 1 5 28 6 33, zy
231: 1 5 26 6 33 1 5 26 6 34 6 26 5 1 33 6 26 5 1 32, zy
232: 1 5 26 6 35 1 5 28 5 1 35 6 26 5 1 33 6 28 6 33, zy
233: 1 5 26 6 35 1 5 28 6 34 6 28 5 1 35 6 26 5 1 32, zy
234: 1 5 28 6 35 1 5 30 6 32 6 30 5 1 35 6 28 5 1 34, zy
235: 1 5 18 2 2 2 16 4 16 4 22 6 28 6 26 6 26 6 26 6 27, zy
236: 1 5 18 4 18 4 18 4 18 4 16 4 20 4 14 4 23 1 6 1 26, zy
237: 1 5 18 4 20 5 1 27 6 29 1 5 22 4 14 2 6 2 12 4 25, zy
238: 1 5 20 4 14 4 22 4 12 2 8 4 26 6 26 6 26 6 26 6 27, zy
239: 1 5 20 4 16 2 2 2 16 4 18 4 16 4 20 4 14 4 22 6 29, zy
240: 1 5 20 4 16 2 4 2 14 4 24 6 29 1 5 22 5 1 29 6 27, zy
241: 1 5 20 4 16 4 16 2 4 2 12 4 22 5 1 30 1 5 22 6 29, zy
242: 1 5 20 4 16 4 20 4 14 2 4 2 14 2 4 2 14 4 22 6 29, zy
243: 1 5 20 4 16 4 20 4 14 2 6 2 10 2 6 2 14 4 22 6 29, zy
244: 1 5 20 4 16 4 20 4 16 4 18 4 20 4 14 4 23 1 6 1 28, zy
245: 1 5 20 4 16 4 20 5 1 29 6 22 5 1 28 1 6 1 23 6 29, zy
246: 1 5 20 4 16 4 21 1 6 1 30 1 5 22 4 16 4 20 5 1 28, zy
247: 1 5 20 4 16 4 22 6 30 6 24 4 12 2 6 2 12 2 8 4 27, zy
248: 1 5 20 4 16 4 22 6 30 6 24 6 30 6 24 6 30 6 24 6 29, zy
249: 1 5 20 4 18 2 2 2 16 4 22 4 14 4 25 1 6 1 27 6 29, zy
250: 1 5 20 4 18 4 22 5 1 31 6 24 4 16 4 20 4 20 5 1 28, zy
251: 1 5 20 4 20 4 16 4 23 1 6 1 28 1 5 20 4 20 5 1 28, zy
252: 1 5 20 4 20 4 16 4 23 1 6 1 28 1 6 1 24 1 6 1 28, zy
253: 1 5 20 4 20 4 18 4 22 5 1 29 6 31 1 5 25 1 6 1 28, zy
254: 1 5 20 5 1 27 4 10 2 12 4 24 4 14 4 24 5 1 31 6 27, zy
255: 1 5 22 4 12 2 6 2 12 2 6 2 12 4 22 4 12 4 24 6 29, zy
256: 1 5 22 4 14 2 6 2 12 4 24 4 12 2 8 2 10 4 26 6 29, zy
257: 1 5 22 4 14 4 23 1 6 1 29 6 24 6 30 6 23 1 6 1 30, zy
258: 1 5 22 4 14 4 24 6 30 6 24 4 12 2 8 2 10 4 26 6 29, zy
259: 1 5 22 4 16 2 4 2 14 2 6 2 12 2 6 2 14 4 24 6 31, zy
260: 1 5 22 4 16 4 23 1 6 1 29 6 28 6 29 1 5 22 5 1 30, zy
261: 1 5 22 4 16 4 24 4 14 4 26 6 32 6 25 1 6 1 29 6 29, zy
262: 1 5 22 4 16 4 24 5 1 32 1 5 26 6 31 1 5 24 5 1 30, zy
263: 1 5 22 4 16 4 24 6 30 6 28 6 28 6 29 1 5 22 5 1 30, zy
264: 1 5 22 4 16 4 24 6 32 6 25 1 6 1 27 6 30 6 28 6 29, zy
265: 1 5 22 4 18 2 2 2 18 4 20 4 18 2 4 2 14 4 26 6 31, zy
266: 1 5 22 4 18 2 2 2 18 4 22 5 1 30 1 5 23 1 6 1 30, zy
